Year,Month,A,B,C,D,E,F,G
1929,05,102.9,116.8,57.5,57.8,31.2,31.4,15.5
1929,06,137.2,139.7,75.8,103.2,79.0,68.1,36.0
1929,07,70.9,107.0,43.3,36.3,33.1,41.4,8.3
1929,08,104.4,92.1,65.6,78.4,65.0,50.2,40.9
1929,09,72.7,90.4,47.1,45.2,31.0,34.9,24.0
1929,10,69.6,98.5,53.6,39.6,40.1,54.1,25.5
1929,11,83.5,98.7,62.7,53.2,34.6,29.9,17.7
1929,12,104.0,150.1,84.3,66.2,61.0,59.4,42.0
1930,01,2.0,2.1,0.6,0.1,0.9,1.0,0.0
1930,02,66.6,76.2,52.5,26.6,44.4,56.2,12.6
1930,03,17.8,26.0,23.9,22.1,20.9,20.7,21.7
1930,04,52.0,57.6,28.8,31.6,32.5,35.7,11.9
1930,05,155.5,178.4,141.6,141.9,112.1,85.2,67.3
1930,06,41.2,49.4,27.2,9.3,15.6,17.8,8.5
1930,07,100.2,107.6,56.0,79.6,56.7,62.0,41.3
1930,08,158.1,168.4,105.2,134.1,89.4,104.5,55.4
1930,09,113.3,112.1,58.5,70.8,42.5,44.7,26.0
1930,10,170.9,161.3,126.5,166.8,106.2,78.2,80.7
1930,11,91.2,110.5,57.5,55.5,43.8,37.2,26.2
1930,12,189.9,284.6,232.4,219.6,207.8,149.6,147.9
1931,01,51.3,57.1,33.3,33.8,15.4,14.4,14.2
1931,02,29.6,35.8,13.0,10.6,6.7,6.5,2.2
1931,03,121.5,176.1,160.7,123.7,102.5,73.9,72.4
1931,04,78.4,95.1,90.9,93.9,84.0,79.2,71.3
1931,05,167.8,182.9,127.0,146.9,124.5,101.6,85.8
1931,06,205.7,219.2,163.2,233.7,160.1,138.0,112.1
1931,07,120.0,112.0,77.8,109.1,85.8,69.2,45.7
1931,08,144.0,142.1,75.1,100.7,55.4,64.7,27.4
1931,09,112.6,108.3,71.8,87.4,63.6,54.9,38.0
1931,10,77.6,70.4,36.5,57.1,15.0,16.4,25.8
1931,11,95.5,136.5,92.1,74.5,81.4,77.2,44.8
1931,12,11.0,20.2,7.7,1.9,1.3,4.2,1.1
1932,01,4.5,6.3,1.5,0.7,1.1,0.7,0.4
1932,02,37.1,62.9,39.4,22.8,35.8,41.1,30.2
1932,03,160.0,172.1,125.1,144.8,103.9,98.2,71.6
1932,04,203.2,245.7,182.1,200.1,135.5,111.4,92.0
1932,05,13.8,24.7,21.0,7.9,32.2,21.3,21.9
1932,06,154.5,167.8,113.7,164.3,99.2,84.5,63.2
1932,07,119.6,116.6,80.1,109.0,78.0,70.5,56.5
1932,08,174.8,188.7,122.9,121.5,118.9,103.6,70.9
1932,09,58.9,55.1,46.9,70.8,33.6,28.5,36.2
1932,10,102.0,151.1,73.9,63.3,39.7,43.8,28.5
1932,11,34.3,29.0,20.9,27.3,14.5,11.8,17.0
1932,12,73.9,132.3,65.6,35.7,43.8,45.4,24.1
1933,01,45.8,50.6,40.9,29.3,46.0,36.7,31.4
1933,02,4.9,11.4,4.5,0.9,1.6,1.3,0.1
1933,03,43.1,70.7,47.8,27.1,28.0,21.8,19.8
1933,04,40.9,44.6,19.6,18.4,27.8,31.9,9.5
1933,05,117.8,121.0,92.1,124.4,91.3,85.6,53.2
1933,06,86.3,93.1,53.3,68.1,56.1,54.5,48.3
1933,07,161.5,188.2,130.8,129.1,115.8,78.5,74.3
1933,08,118.4,145.6,79.8,86.2,72.8,65.6,48.7
1933,09,129.8,138.1,98.3,136.1,94.3,89.2,59.0
1933,10,89.1,97.8,63.3,80.4,41.3,35.7,34.1
1933,11,47.8,49.8,44.1,46.1,79.8,93.2,46.4
1933,12,141.0,162.4,118.4,138.4,114.8,174.8,81.3
1934,01,103.0,148.8,119.0,136.2,50.7,31.1,61.0
1934,02,56.0,58.7,43.9,54.2,48.2,42.9,57.2
1934,03,47.9,29.1,15.8,62.6,6.1,2.1,17.0
1934,04,119.0,185.2,88.1,72.8,50.8,61.5,44.4
1934,05,1.2,3.9,1.8,0.6,1.2,0.5,0.2
1934,06,51.8,61.2,34.6,40.3,25.8,28.1,18.0
1934,07,124.3,140.0,85.6,128.2,78.8,64.0,48.6
